director_name,actor_1_name,actor_2_name,actor_3_name,genres,Title
Ken Marino , Erica Oyama , Nina Dobrev, Finn Wolfhard,Comedy Romance Drama,Dog Days
Jon Turteltaub , Jon Hoeber, Erich Hoeber (screenplay), Jason Statham,Action Science Fiction Horror,The Meg
Spike Lee , David Rabinowitz, Charlie Wachtel, Kevin Willmott (screenplay),Crime Drama History Comedy,BlacKkKlansman
Sylvain White , Joey King, Julia Goldani Telles, Jaz Sinclair,Mystery Thriller Horror,Slender Man
Jon M. Chu , Adele Lim , Constance Wu, Henry Golding,Comedy Drama Romance,Crazy Rich Asians
Albert Hughes , Kodi Smit-McPhee, Leonor Varela, Jens Hultén,Adventure Drama,Alpha
Peter Berg , Lea Carpenter , Mark Wahlberg, John Malkovich,Action Thriller,Mile 22
Björn Runge , Glenn Close, Jonathan Pryce, Christian Slater,Drama,The Wife
James Cox , Captain Mauzner , Ansel Elgort, Taron Egerton,Drama Thriller,Billionaire Boys Club
Jesse Peretz , Phil Alden Robinson, Jim Taylor (screenplay), Ethan Hawke,Comedy Drama Romance,"Juliet, Naked"
Rodrigo Cortés , Chris Sparling , AnnaSophia Robb, Uma Thurman,Thriller Drama Fantasy Horror,Down a Dark Hall
Brian Henson , Melissa McCarthy, Maya Rudolph, Joel McHale,Action Comedy Crime,The Happytime Murders
Oliver Daly /screenplay, Becky G, Alex MacNicoll, Thomas Jane,Science Fiction Action Adventure Family,A.X.L.
Chris Weitz , Oscar Isaac, Ben Kingsley, Lior Raz,Drama History Thriller,Operation Finale
Jonathan Baker, Daniel Casey , Myles Truitt, Jack Reynor,Science Fiction Action,Kin
Lenny Abrahamson , Domhnall Gleeson, Ruth Wilson, Will Poulter,Mystery Drama Horror History,The Little Stranger
Corin Hardy , Demián Bichir, Taissa Farmiga, Jonas Bloquet,Horror Mystery Thriller,The Nun
Pierre Morel , Jennifer Garner, John Ortiz, Juan Pablo Raba,Action Thriller,Peppermint
Shane Black /screenplay, Boyd Holbrook, Trevante Rhodes, Jacob Tremblay,Science Fiction Action Thriller Adventure Horror Comedy,The Predator
Yann Demange , Steve Kloves, Noah Miller, Andy Weiss (screenplay),Crime Drama,White Boy Rick
Paul Feig /screenplay, Anna Kendrick, Blake Lively, Henry Golding,Crime Comedy Mystery Drama Thriller,A Simple Favor
Richard Eyre , Emma Thompson, Stanley Tucci, Fionn Whitehead,Drama,The Children Act
Craig William Macneill , Chloë Sevigny, Kristen Stewart, Jay Huguley,Crime Drama Thriller,Lizzie
Harold Cronk , Ken Hixon , Samuel Hunt, Merritt Patterson,Drama,Unbroken  Path to Redemption
Eli Roth , Jack Black, Cate Blanchett, Owen Vaccaro,Fantasy Family Horror Comedy,The House with a Clock in Its Walls
Dan Fogelman /screenplay, Olivia Wilde, Mandy Patinkin, Olivia Cooke,Drama Romance,Life Itself
Jacques Audiard , Thomas Bidegain , John C. Reilly, Joaquin Phoenix,Western Drama Adventure,The Sisters Brothers
Sam Levinson /screenplay, Suki Waterhouse, Hari Nef, Abra,Thriller Comedy Horror,Assassination Nation
Kenji Nagasaki , Justin Briner, Christopher R. Sabat, Clifford Chapin,Animation Action Comedy Fantasy Adventure,My Hero Academia  Two Heroes
Karey Kirkpatrick /screenplay, Channing Tatum, James Corden, Zendaya,Animation Family Adventure Fantasy,Smallfoot
Malcolm D. Lee , Harry Ratchford, Joey Wells, Matt Kellard,Comedy,Night School
David Lowery /screenplay, Casey Affleck, Danny Glover, Tika Sumpter,Comedy Crime Drama,The Old Man & the Gun
Gregory Plotkin , Chris Sey , Bex Taylor-Klaus, Amy Forsyth,Horror,Hell Fest
Ruben Fleischer , Scott Rosenberg, Kelly Marcel (screenplay), Tom Hardy,Science Fiction Action,Venom
Bradley Cooper /screenplay, Will Fetters , Bradley Cooper, Lady Gaga,Drama Romance Music,A Star Is Born
George Tillman Jr. , Amandla Stenberg, Regina Hall, Russell Hornsby,Crime Drama,The Hate U Give
Rupert Everett /screenplay, Colin Firth, Colin Morgan, Emily Watson,Drama,The Happy Prince
Damien Chazelle , Ryan Gosling, Claire Foy, Jason Clarke,History Drama,First Man
Drew Goddard /screenplay, Cynthia Erivo, Dakota Johnson, Jon Hamm,Thriller Drama Mystery,Bad Times at the El Royale
Ari Sandel , Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,Goosebumps 2  Haunted Halloween
Felix van Groeningen /screenplay, Steve Carell, Timothée Chalamet, Maura Tierney,Drama,Beautiful Boy
Ike Barinholtz /screenplay, Tiffany Haddish, Nora Dunn, Chris Ellis,Comedy,The Oath
Nick Searcy , Dean Cain, Sarah Jane Morris, Michael Beach,Drama Crime,Gosnell  The Trial of America's Biggest Serial Killer
David Gordon Green /screenplay, Danny McBride , Jamie Lee Curtis, Judy Greer,Animation Family Mystery Comedy Crime,Halloween
Marielle Heller , Jeff Whitty , Melissa McCarthy, Richard E. Grant,Drama Crime Comedy,Can You Ever Forgive Me?
Paul Dano /screenplay, Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould,Drama,Wildlife
Elizabeth Chomko /screenplay, Michael Shannon, Robert Forster, Blythe Danner,Drama,What They Had
Donovan Marsh , Jamie Moss , Gerard Butler, Gary Oldman,Action Thriller,Hunter Killer
David Kerr , Rowan Atkinson, Olga Kurylenko, Ben Miller,Action Adventure Comedy,Johnny English Strikes Again
Luca Guadagnino , Dakota Johnson, Tilda Swinton, Mia Goth,Horror,Suspiria
David G. Evans /screenplay, Sarah Drew, Justin Bruening, Jason George,Drama War,Indivisible
David McCracken /screenplay, Jenni Melear, David McCracken, Napoleon Ryan,Action Drama Thriller,Bullitt County
Bryan Singer , Rami Malek, Lucy Boynton, Gwilym Lee,Drama Music,Bohemian Rhapsody
Lasse Hallström, Ashleigh Powell , Keira Knightley, Mackenzie Foy,Fantasy Adventure Family,The Nutcracker and the Four Realms
Tyler Perry /screenplay, Tika Sumpter, Omari Hardwick, Mehcad Brooks,Comedy Romance,Nobody's Fool
Joel Edgerton /screenplay, Nicole Kidman, Russell Crowe, Joel Edgerton,Drama,Boy Erased
Matthew Heineman , Rosamund Pike, Jamie Dornan, Stanley Tucci,Drama War,A Private War
Joseph Kahn , Calum Worthy, Jackie Long, Rory Uphold,Drama Comedy Music,Bodied
Jason Reitman , Jason Reitman, Jay Carson (screenplay), Hugh Jackman,Drama History,The Front Runner
Yarrow Cheney, Matthew O'Callaghan co-director, Michael LeSieur, Tommy Swerdlow (screenplay),Animation Family Comedy Fantasy,The Grinch
Fede Alvarez /screenplay, Jay Basu , Claire Foy, Sverrir Gudnason,Action Crime Thriller Drama,The Girl in the Spider's Web
Julius Avery , Mark L. Smith , Jovan Adepo, Wyatt Russell,Horror War Science Fiction,Overlord
Joel and Ethan Coen s/screenplay, Zoe Kazan, Liam Neeson, Tom Waits,Comedy Drama Western,The Ballad of Buster Scruggs
Daniel Fabelo & Matt Hullum , Matt Hullum & Burnie Burns , Gavin Free, Michael Jones,Science Fiction Action Adventure Comedy,Lazer Team 2
James Nunn , Chuck Norris edited," Mike ""The Miz"" Mizanin", Shawn Michaels,Action Drama,The Marine 6  Close Quarters
Josh Webber , Jo Marie Payton, Gary Leroi Gray, Paula Jai Parker,Drama Thriller,Conundrum  Secrets Among Friends
David Yates , Eddie Redmayne, Katherine Waterston, Dan Fogler,Adventure Fantasy Drama,Fantastic Beasts  The Crimes of Grindelwald
Steve McQueen /screenplay, Viola Davis, Michelle Rodriguez, Elizabeth Debicki,Crime Thriller,Widows
Sean Anders /screenplay, Mark Wahlberg, Rose Byrne, Isabela Moner,Comedy Drama,Instant Family
Rich Moore, Phil Johnston, Pamela Ribon (screenplay), John C. Reilly,Family Animation Comedy Adventure,Ralph Breaks the Internet
Steven Caple Jr. , Juel Taylor , Michael B. Jordan, Sylvester Stallone,Drama,Creed II
Peter Farrelly /screenplay, Nick Vallelonga , Viggo Mortensen, Mahershala Ali,Drama Comedy,Green Book
Otto Bathurst , David James Kelly , Taron Egerton, Jamie Foxx,Adventure Action Thriller,Robin Hood
Alfonso Cuarón /screenplay, Marina de Tavira, Fernando Grediaga, Jorge Antonio Guerrero,Drama,Roma
